Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,Red Team Activity,Hosts,Users
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Discovery,T1082,System Information Discovery,,"`cmd.exe` executed `systeminfo \| findstr /B /C:""System Locale""` on IIS01",Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Discovery,T1057,Process Discovery,,"`cmd.exe` executed `tasklist /v /fi ""STATUS eq running""` on IIS01",Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Discovery,T1007,System Service Discovery,,`powershell.exe` executed `Get-WmiObject -Class Win32_Service` on IIS01,Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Discovery,T1083,File and Directory Discovery,,`powershell.exe` executed `Get-ChildItem` + `New-Item` / `Remove-Item` in `C:\Users\Public\` on IIS01,Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Execution,T1059.001,PowerShell,,"`powershell.exe` executes `Get-WmiObject`, `Get-ChildItem`, `Get-PSDrive` on IIS01",Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Execution,T1059.003,Windows Command Shell,,`cmd.exe` executes `systeminfo \| findstr` and `tasklist` on IIS01,Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Discovery,T1016,System Network Configuration Discovery,,`cmd.exe` executed `ipconfig /all` on IIS01,Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Discovery,T1016.001,System Network Configuration Discovery: Internet Connection Discovery,,`cmd.exe` executed `ping google.com` on IIS01,Calibrated - Benign,,,,
Noise Block 1 — Concurrent with Phase 2 (Discovery & Credential Access on IIS01),Execution,T1059.003,Windows Command Shell,,`cmd.exe` executes `ipconfig` and `ping` on IIS01,Calibrated - Benign,,,,
Noise Block 2 — Concurrent with Phase 3 (Lateral Movement & Persistence on DC01),Discovery,T1087.002,Account Discovery: Domain Account,,`cmd.exe` executed `net user` on DC01,Calibrated - Benign,,,,
Noise Block 2 — Concurrent with Phase 3 (Lateral Movement & Persistence on DC01),Execution,T1059.003,Windows Command Shell,,`cmd.exe` executes `net user` on DC01,Calibrated - Benign,,,,
Noise Block 2 — Concurrent with Phase 3 (Lateral Movement & Persistence on DC01),Execution,T1053.005,Scheduled Task/Job: Scheduled Task,,"`cmd.exe` executed `schtasks /create /tn ""DailyTask""` running PowerShell as SYSTEM on DC01",Calibrated - Benign,,,,
Noise Block 2 — Concurrent with Phase 3 (Lateral Movement & Persistence on DC01),Execution,T1059.003,Windows Command Shell,,`cmd.exe` executes `schtasks` on DC01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Collection,T1560.001,Archive Collected Data: Archive via Utility,,`7z.exe` archives `C:\Users\Public\` with password `-p!Evals123` on IIS01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Impact,T1489,Service Stop,,"`powershell.exe` executed `Stop-Service` batch (`Bluetooth`, `BTAGService`, `OneSync`, `XblGameSave`, `WbioSrvc`) on IIS01",Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Execution,T1059.001,PowerShell,,`powershell.exe` executes `Stop-Service` batch on IIS01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Execution,T1059.003,Windows Command Shell,,`cmd.exe` executes `7z` on IIS01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Impact,T1490,Inhibit System Recovery,,`cmd.exe` executed `vssadmin add shadowstorage` + `vssadmin create shadow /for=C:` on DC01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Defense Evasion,T1562.004,Impair Defenses: Disable or Modify System Firewall,,`cmd.exe` executed `netsh advfirewall set allprofiles state off` on DC01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Defense Evasion,T1070,Indicator Removal,,User clears recycle bin via GUI (right-click > Empty Recycle Bin) on DC01,Calibrated - Benign,,,,
Noise Block 3 — Concurrent with Phase 5 (Impact on IIS01 + DC01),Execution,T1059.003,Windows Command Shell,,`cmd.exe` executes `vssadmin` and `netsh advfirewall` on DC01,Calibrated - Benign,,,,
