Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Red Team Activity,Hosts,Users
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Initial Access,T1190,Exploit Public-Facing Application,Windows,HTTP POST multipart file upload to `upload.testlab.local` upload interface deposits attacker-controlled files in `/uploads/`; no authentication required; server accepts arbitrary file types,Not Calibrated - Not Benign,"Attacker exploits unrestricted file upload vulnerability on `upload.testlab.local` to stage `staging.html`, `dnscat2.exe`, and `CWLHerpaderping.exe` on victim infrastructure",upload.testlab.local,attacker
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Command and Control,T1105,Ingress Tool Transfer,Windows,"Files `staging.html`, `dnscat2.exe`, `CWLHerpaderping.exe` appear in `/uploads/` on `upload.testlab.local` via multipart POST; no prior authentication or session",Not Calibrated - Not Benign,Attacker transfers malware and lure page from attacker machine into victim environment via file upload vulnerability,upload.testlab.local,attacker
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Execution,T1204.001,User Execution: Malicious Link,Windows,User opens `http://upload.testlab.local/uploads/staging.html` in `msedge.exe` / `chrome.exe` / `iexplore.exe`,Not Calibrated - Not Benign,Victim opens the attacker-provided URL in a browser; this row captures user interaction with the malicious link independent of how the link was delivered,victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Initial Access,T1189,Drive-by Compromise,Windows,`msedge.exe` / `chrome.exe` / `iexplore.exe` connects to `http://upload.testlab.local/uploads/staging.html`; the page visit precedes browser-side staging of `cert_bundle.txt`,Not Calibrated - Not Benign,"Victim visits attacker-uploaded malicious HTML content hosted on victim-owned `upload.testlab.local`; the page runs client-side checks and initiates browser-side staging. This row is retained as a broad-fit web-delivery mapping to **T1189**, but it is not a canonical exploit-on-visit drive-by flow because compromise depends on downstream user execution - **Not Calibrated** on two grounds: (1) Condition 4 fail - browser navigation to an internal hostname is indistinguishable from normal browsing within the Scenario 1 EDR surface; fair scoring would require URL reputation or content inspection outside scope; (2) Câu B Downstream - the page visit is the upstream mechanism for **T1027.006** (Calibrated); if vendor detects the file write downstream they have already observed the outcome of this step",victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1027.006,Obfuscated Files or Information: HTML Smuggling,Windows,`msedge.exe` / `chrome.exe` writes `%USERPROFILE%\Downloads\cert_bundle.txt` without issuing a corresponding HTTP GET request for the file,Calibrated - Not Benign,`staging.html` reconstructs `cert_bundle.txt` from base64 blob embedded in the HTML; no server request for the file,victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"`cert_bundle.txt` contains base64-encoded content structured between PEM `-----BEGIN CERTIFICATE-----` / `-----END CERTIFICATE-----` delimiters, concealing an HTA payload inside a file that appears to be a legitimate certificate bundle",Not Calibrated - Not Benign,Static encoding layout inside the polyglot file; same observable outcome is covered by **T1036.008** (misleading type) and **T1140** (decode at execution) which map cleanly to file-create + process/script telemetry per detection notes,victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1497.001,Virtualization/Sandbox Evasion: System Checks,Windows,"No reveal/download when `environmentBlocksPayload()` is true: `screen.width < 1000` or `screen.height < 700`, `navigator.plugins.length === 0`, or timezone missing/`UTC`; passive checks in page script only; `triggerDownload()` not called",Not Calibrated - Not Benign,"Checks run entirely inside the browser JS context - no distinct endpoint telemetry (process/registry/script-block) for “sandbox detected”; only indirect outcome is absence of `cert_bundle.txt`, which is ambiguous on EDR and overlaps the scored **T1027.006** download path. Aligns with methodology: internal guard/evasion logic is **Not Calibrated** for Scenario 1","upload.testlab.local, victim-workstation",domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1497.002,Virtualization/Sandbox Evasion: User Activity Based Checks,Windows,"After `REVEAL_DELAY_MS` (5000), reveal and `triggerDownload()` run only if `userSignals >= USER_SIGNALS_MIN` (10); `mousemove` adds 1 and `keydown` adds 3 per event; static automated sessions often stay below threshold",Not Calibrated - Not Benign,"Same rationale as **T1497.001**: `userSignals` is in-page state only - vendors cannot fairly be scored on “missed sandbox evasion” without telemetry attributable to this technique; kept for ATT&CK completeness, not denominator",victim-workstation,domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1678,Delay Execution,Windows,Fixed `REVEAL_DELAY_MS = 5000` between navigation and evaluation of user-activity + system gates; delay has no dedicated endpoint syscall/log line separate from browser timing,Not Calibrated - Not Benign,Spinner UX aligns with **T1678** (timed deferral) but EDR scoring lacks a standalone observable aside from correlating page-load time to later file events - treated as implementation detail of the gated reveal,"upload.testlab.local, victim-workstation",domain user
Step 1 - Initial Access: Web-Delivered Lure via HTML Smuggling,Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"`browser` process writes `%USERPROFILE%\Downloads\cert_bundle.txt`; filename chosen to approximate the name of a legitimate certificate export, reducing suspicion if seen in the Downloads folder",Not Calibrated - Not Benign,Payload file named `cert_bundle.txt` to approximate a legitimate certificate bundle filename; naming aspect is distinct from the polyglot file-type masquerade scored under T1036.008,victim-workstation,domain user
