File,Step,Summary,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,Red Team Activity,Hosts,Users
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,labuser CTRL-click embedded hyperlink in Braavos_Competitiveness_Brief.docx,Execution,T1204.001,User Execution: Malicious Link,Windows,`winword.exe` spawns a browser child process (`msedge.exe` or `chrome.exe`) that navigates to an HTTP ZIP download URL - Office process spawning browser with a direct file-download URL is anomalous relative to standard Word usage baseline on WS01,Not Calibrated - Not Benign,transport,`labuser` opens `Braavos_Competitiveness_Brief.docx` in Word and CTRL+clicks the embedded hyperlink; `winword.exe` triggers browser navigation to `http://192.168.56.2/files/250325_Pentos_Board_Minutes.zip`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,browser download password-protected ZIP 250325_Pentos_Board_Minutes.zip from adversary staging server Extract All password Pentos,Stealth,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,Browser process writes a password-protected ZIP archive to `C:\Users\labuser\Downloads\` - file scanner cannot inspect payload content before user extraction; archive content is opaque to signature-based detection before the password is applied,Not Calibrated - Not Benign,transport,"Browser (Edge/Chrome) downloads `250325_Pentos_Board_Minutes.zip` from `http://192.168.56.2/files/`; `labuser` extracts with Windows Explorer Extract All using password `Pentos` - payload concealed inside password-protected ZIP, no file signature visible before extraction",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,labuser LNK invocation Essos Competitiveness Brief.lnk,Execution,T1204.002,User Execution: Malicious File,Windows,`explorer.exe` spawns `cmd.exe` with command line `cmd.exe /c .\EssosUpdate.exe` from `C:\Users\labuser\Downloads\250325_Pentos_Board_Minutes\` - LNK executing a binary from a user Downloads subdirectory via `explorer.exe`,Not Calibrated - Not Benign,transport,"`labuser` double-clicks `Essos Competitiveness Brief.lnk` extracted from `250325_Pentos_Board_Minutes.zip`; LNK icon spoofed to `shell32.dll,70` to appear as a document",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,labuser LNK invocation Essos Competitiveness Brief.lnk,Stealth,T1036.008,Masquerading: Masquerade File Type,Windows,"`Essos Competitiveness Brief.lnk` has a document-class icon resource (`shell32.dll,70`) while its file extension is `.lnk` and its shell target executes `cmd.exe` - icon type and file type do not match; detectable via LNK metadata inspection at extraction",Calibrated - Not Benign,-,"`labuser` double-clicks `Essos Competitiveness Brief.lnk` extracted from `250325_Pentos_Board_Minutes.zip`; LNK icon spoofed to `shell32.dll,70` to appear as a document",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,LNK cmd.exe /c EssosUpdate.exe process spawn,Execution,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Windows,`explorer.exe` spawns `cmd.exe /c .\EssosUpdate.exe` from `C:\Users\labuser\Downloads\250325_Pentos_Board_Minutes\` - `cmd.exe` acting as a pass-through launcher for a user-placed binary in a non-standard location,Not Calibrated - Not Benign,interpreter-spawn,LNK shortcut fires `cmd.exe /c .\EssosUpdate.exe` in the extraction directory; `cmd.exe` parented by `explorer.exe`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,cmd.exe EssosUpdate.exe (wsddebug_host.exe) process spawn,Stealth,T1036.003,Masquerading: Rename Legitimate Utilities,Windows,`EssosUpdate.exe` carries a Microsoft Authenticode signature with `OriginalFilename=wsddebug_host.exe` but executes from `C:\Users\labuser\Downloads\250325_Pentos_Board_Minutes\` - on-disk filename does not match the signed binary's internal name; signed Microsoft tool running from a user-writable non-system path,Calibrated - Not Benign,-,"`cmd.exe` spawns `EssosUpdate.exe`, a renamed copy of the signed Microsoft WSD debug tool `wsddebug_host.exe`, executing from a non-SDK user-writable path",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,EssosUpdate.exe wsdapi.dll search-order DLL sideload,Execution,T1574.001,Hijack Execution Flow: DLL,Windows,`EssosUpdate.exe` loads `wsdapi.dll` from `C:\Users\labuser\Downloads\250325_Pentos_Board_Minutes\` - shadows `C:\Windows\System32\wsdapi.dll` via DLL search-order hijack; DLL load event shows a known Windows component name resolved from a user-writable extraction directory instead of System32,Calibrated - Not Benign,-,`EssosUpdate.exe` loads attacker-controlled `wsdapi.dll` from the extraction directory ahead of `C:\Windows\System32\wsdapi.dll` via Windows DLL search order,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll Tully Enterprises self-signed Authenticode code signing,Defense Impairment,T1553.002,Subvert Trust Controls: Code Signing,Windows,`wsdapi.dll` loaded by `EssosUpdate.exe` bears an Authenticode signature from self-signed issuer `CN=Tully Enterprises` - certificate chain does not validate against any trusted root; signature present but untrusted on the loaded DLL,Calibrated - Not Benign,-,"`wsdapi.dll` bears an attacker-controlled Authenticode signature (`CN=Tully Enterprises, O=Tully Enterprises, L=Riverrun, S=Riverlands, C=Westeros`, self-signed, SHA-256); chain does not validate against Microsoft or enterprise trust store",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll FNV1A hash Windows API name resolution,Stealth,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,`wsdapi.dll` PE import table contains no `GetProcAddress` or `LoadLibrary` entries despite making Windows API calls at runtime - sparse IAT consistent with hash-based runtime resolution; detectable via static PE import-table analysis or YARA rule on the DLL file or in-memory image,Calibrated - Not Benign,-,`wsdapi.dll` resolves all target Windows API exports by computing FNV1A hashes of export names; `LoadLibrary`/`GetProcAddress` calls absent from the IAT,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 - Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll GetModuleFileNameW EssosUpdate.exe host process sandbox gate,Stealth,T1497.001,Virtualization/Sandbox Evasion: System Checks,Windows,`wsdapi.dll` contains a code pattern that reads the host process path via `GetModuleFileNameW(NULL)` and performs a string comparison at DLL initialization - self-exit if host process name does not match; detectable via static YARA on the DLL binary or native API monitoring at DLL load time in `EssosUpdate.exe`,Calibrated - Not Benign,-,`wsdapi.dll` calls `GetModuleFileNameW(NULL)` and compares the leaf filename to `EssosUpdate.exe`; exits if the host process is different (sandbox or manual analysis context),WS01 (10.12.10.30),TESTLAB\labuser
