File,Step,Summary,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,ACW,Red Team Activity,Hosts,Users,Detection ID,Detection Description,Log Source,Event Filter,Data Component
Phase 1.md,Step 1 — Initial Access & Payload Staging,CVE-2025-55182 RSC flight data deserialization RCE,Initial Access,T1190,Exploit Public-Facing Application,Windows,"N/A — C3: exploit artifact is a crafted HTTP multipart body (_prefix field for CVE-2025-55182); application-layer deserialization parsing is off the EDR telemetry surface; downstream process behaviors witness T1059.007 and T1105, not the initial exploit event",Not Calibrated - Not Benign,out-of-surface,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0219,"Adversary sends crafted HTTP/S (or other service) input to an Internet-facing app (IIS/ASP.NET, API, device portal). Chain: (1) abnormal request patterns to public endpoint → (2) elevated 4xx/5xx or unusual methods/paths → (3) server process (w3wp.exe/other service) spawns shell/LOLbins or loads non-standard modules → (4) optional outbound callback from the host/container.",WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,CVE-2025-55182 RSC flight data deserialization RCE,Initial Access,T1190,Exploit Public-Facing Application,Windows,"N/A — C3: exploit artifact is a crafted HTTP multipart body (_prefix field for CVE-2025-55182); application-layer deserialization parsing is off the EDR telemetry surface; downstream process behaviors witness T1059.007 and T1105, not the initial exploit event",Not Calibrated - Not Benign,out-of-surface,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0219,"Adversary sends crafted HTTP/S (or other service) input to an Internet-facing app (IIS/ASP.NET, API, device portal). Chain: (1) abnormal request patterns to public endpoint → (2) elevated 4xx/5xx or unusual methods/paths → (3) server process (w3wp.exe/other service) spawns shell/LOLbins or loads non-standard modules → (4) optional outbound callback from the host/container.",WinEventLog:Sysmon,EventCode=7,Module Load
Phase 1.md,Step 1 — Initial Access & Payload Staging,CVE-2025-55182 RSC flight data deserialization RCE,Initial Access,T1190,Exploit Public-Facing Application,Windows,"N/A — C3: exploit artifact is a crafted HTTP multipart body (_prefix field for CVE-2025-55182); application-layer deserialization parsing is off the EDR telemetry surface; downstream process behaviors witness T1059.007 and T1105, not the initial exploit event",Not Calibrated - Not Benign,out-of-surface,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0219,"Adversary sends crafted HTTP/S (or other service) input to an Internet-facing app (IIS/ASP.NET, API, device portal). Chain: (1) abnormal request patterns to public endpoint → (2) elevated 4xx/5xx or unusual methods/paths → (3) server process (w3wp.exe/other service) spawns shell/LOLbins or loads non-standard modules → (4) optional outbound callback from the host/container.",WinEventLog:Sysmon,"EventCode=3, 22",Network Connection Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,react2shell HTTP POST _prefix field bidirectional C2,Command and Control,T1071.001,Application Layer Protocol: Web Protocols,Windows,N/A — C3: react2shell C2 is inbound HTTP to a web server — node.exe accepting connections on port 80/443 is baseline for IIS01; HTTP request body content (eval payload encoding) is off the EDR telemetry surface; process-level effects are captured by T1059.007 and T1105,Not Calibrated - Not Benign,out-of-surface,Critical,"react2shell exploit tool uses HTTP POST to CVE-2025-55182 eval channel as bidirectional C2 — commands embedded in multipart `_prefix` POST field, output returned in `X-Action-Redirect` response header; channel carries all staging and execution operations before DNS C2 is established",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0075,"Detects unexpected or high-volume HTTP/S/WebSocket communication from suspicious processes (e.g., PowerShell, rundll32) using uncommon user agents or mimicking browser traffic to unusual domains or IPs.",NSM:Flow,"http.log, ssl.log",Network Traffic Content
Phase 1.md,Step 1 — Initial Access & Payload Staging,react2shell HTTP POST _prefix field bidirectional C2,Command and Control,T1071.001,Application Layer Protocol: Web Protocols,Windows,N/A — C3: react2shell C2 is inbound HTTP to a web server — node.exe accepting connections on port 80/443 is baseline for IIS01; HTTP request body content (eval payload encoding) is off the EDR telemetry surface; process-level effects are captured by T1059.007 and T1105,Not Calibrated - Not Benign,out-of-surface,Critical,"react2shell exploit tool uses HTTP POST to CVE-2025-55182 eval channel as bidirectional C2 — commands embedded in multipart `_prefix` POST field, output returned in `X-Action-Redirect` response header; channel carries all staging and execution operations before DNS C2 is established",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0075,"Detects unexpected or high-volume HTTP/S/WebSocket communication from suspicious processes (e.g., PowerShell, rundll32) using uncommon user agents or mimicking browser traffic to unusual domains or IPs.",WinEventLog:Sysmon,"EventCode=3, 22",Network Connection Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe eval payload charcode API call obfuscation,Defense Evasion,T1027.010,Obfuscated Files or Information: Command Obfuscation,Windows,"N/A — C2: charcode encoding and decoding occur inside the node.exe JavaScript runtime — no file, registry, or child-process artifact is produced by the obfuscation step itself; evaluator cannot verify without Node.js V8 engine instrumentation",Not Calibrated - Not Benign,C2,Low,"All Node.js API calls and path strings are encoded as charcode arrays before injection; applies to every eval payload sent during stage, rename, and pipestage operations",react.testlab.local,IIS APPPOOL\react.testlab.local,AN1394,"Detection of command-line activity exhibiting syntactic obfuscation patterns, such as excessive escape characters, base64 encoding, command concatenation, or outlier command length and entropy.",WinEventLog:Security,EventCode=4688,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe Buffer API in-process base64 payload decode,Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"N/A — C2: base64 decode occurs in-process via Node.js Buffer API with no intermediate disk artifact; the only observable output is the subsequent file write, which witnesses T1105, not the decode step independently",Not Calibrated - Not Benign,C2,Low,`stage` decodes base64 from in-memory global buffer via Node.js `Buffer` API and writes decoded binary in one atomic `writeFileSync` call; no intermediate encoded file written to disk on target,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0767,"An adversary leverages built-in tools such as certutil.exe, powershell.exe, or copy.exe to decode, reassemble, or extract hidden malicious content from obfuscated containers or encoded formats. The decoding utility often spawns shortly after file staging or download and may be chained with script interpreters or further payload execution.",WinEventLog:Sysmon,EventCode=1,Process Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe Buffer API in-process base64 payload decode,Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"N/A — C2: base64 decode occurs in-process via Node.js Buffer API with no intermediate disk artifact; the only observable output is the subsequent file write, which witnesses T1105, not the decode step independently",Not Calibrated - Not Benign,C2,Low,`stage` decodes base64 from in-memory global buffer via Node.js `Buffer` API and writes decoded binary in one atomic `writeFileSync` call; no intermediate encoded file written to disk on target,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0767,"An adversary leverages built-in tools such as certutil.exe, powershell.exe, or copy.exe to decode, reassemble, or extract hidden malicious content from obfuscated containers or encoded formats. The decoding utility often spawns shortly after file staging or download and may be chained with script interpreters or further payload execution.",WinEventLog:Sysmon,EventCode=11,File Creation
Phase 1.md,Step 1 — Initial Access & Payload Staging,node.exe Buffer API in-process base64 payload decode,Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,"N/A — C2: base64 decode occurs in-process via Node.js Buffer API with no intermediate disk artifact; the only observable output is the subsequent file write, which witnesses T1105, not the decode step independently",Not Calibrated - Not Benign,C2,Low,`stage` decodes base64 from in-memory global buffer via Node.js `Buffer` API and writes decoded binary in one atomic `writeFileSync` call; no intermediate encoded file written to disk on target,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0767,"An adversary leverages built-in tools such as certutil.exe, powershell.exe, or copy.exe to decode, reassemble, or extract hidden malicious content from obfuscated containers or encoded formats. The decoding utility often spawns shortly after file staging or download and may be chained with script interpreters or further payload execution.",WinEventLog:Sysmon,EventCode=10,Process Access
Phase 1.md,Step 1 — Initial Access & Payload Staging,dnscat2 XOR-encoded PE write to CertCA.enc,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe writes binary file C:\ProgramData\CertCA.enc on IIS01 — node.exe writing to C:\ProgramData\ is anomalous for an IIS web worker; file-create event (Sysmon EID 11) attributes the write to node.exe,Not Calibrated - Not Benign,redundant@T1027.013,High,"`stage --encrypt` reads dnscat2 PE locally, XOR-encodes in Python memory (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`), base64-encodes, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded XOR-encoded bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,"EventCode=3, 22",Network Connection Creation
