Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,ACW,Red Team Activity,Hosts,Users,Summary
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Initial Access,T1190,Exploit Public-Facing Application,Windows,N/A — C4: exploit request observable only at WAF/IDS network layer; not on Scenario 1 EDR surface,Not Calibrated - Not Benign,out-of-surface,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,Exploit CVE-2025-55182 deserialization on IIS to inject JS into _prefix field
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Command and Control,T1071.001,Application Layer Protocol: Web Protocols,Windows,N/A — C4: X-Action-Redirect response header C2 channel observable only in server/application response logs; not on Scenario 1 EDR surface,Not Calibrated - Not Benign,out-of-surface,Critical,"react2shell exploit tool uses HTTP POST to CVE-2025-55182 eval channel as bidirectional C2 — commands embedded in multipart `_prefix` POST field, output returned in `X-Action-Redirect` response header; channel carries all staging and execution operations before DNS C2 is established",react.testlab.local,IIS APPPOOL\react.testlab.local,react2shell HTTP eval channel used as bidirectional C2 via _prefix/X-Action-Redirect
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,"`node.exe` renames `C:\Windows\Temp\CertEnrollSvc.bin` to `C:\Windows\Temp\CertEnrollSvc.exe` (Sysmon EID 11) — IIS worker process issuing a file rename via eval-injected JavaScript, no child process spawned",Not Calibrated - Not Benign,redundant@T1036.005,High,"Exploit injects `eval(String.fromCharCode(...))` as the `_prefix` value, executing arbitrary Node.js code in the IIS worker process; all in-process file operations (writeFileSync, Buffer decode, renameSync) are dispatched through this eval channel",react.testlab.local,IIS APPPOOL\react.testlab.local,node.exe renames CertEnrollSvc.bin to .exe via in-process fs.renameSync
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1027.010,Obfuscated Files or Information: Command Obfuscation,Windows,N/A — C4: eval(String.fromCharCode(...)) obfuscation observable only in HTTP request body; not on Scenario 1 EDR surface,Not Calibrated - Not Benign,out-of-surface,Low,"All Node.js API calls and path strings are encoded as charcode arrays before injection; applies to every eval payload sent during stage, rename, and pipestage operations",react.testlab.local,IIS APPPOOL\react.testlab.local,eval(String.fromCharCode()) encodes all Node.js API calls and path strings
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1140,Deobfuscate/Decode Files or Information,Windows,N/A — C3: in-memory Buffer.from decode not independently verifiable; file write event is the T1105 observable; no intermediate artifact distinguishes this from a direct binary write without trusting the implant,Not Calibrated - Not Benign,C3,Medium,`stage` decodes base64 from in-memory global buffer via Node.js `Buffer` API and writes decoded binary in one atomic `writeFileSync` call; no intermediate encoded file written to disk on target,react.testlab.local,IIS APPPOOL\react.testlab.local,Buffer.from base64 decode staged payload in-memory; no encoded file on disk
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes `C:\ProgramData\CertCA.enc` to disk — IIS worker process creating a file in `C:\ProgramData\` outside the web root is anomalous (Sysmon EID 11),Calibrated - Not Benign,-,High,"`stage --encrypt` reads dnscat2 PE locally, XOR-encodes in Python memory (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`), base64-encodes, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded XOR-encoded bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,Stage XOR-encoded dnscat2 PE as CertCA.enc via eval channel
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes `C:\Windows\Temp\CertEnrollSvc.bin` to disk — IIS worker process writing a PE binary to `%TEMP%` is anomalous (Sysmon EID 11),Calibrated - Not Benign,-,High,"`stage` reads EfsPotato PE locally, base64-encodes in Python memory, streams 2000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded binary bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,Stage EfsPotato PE as CertEnrollSvc.bin via eval channel
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"N/A — C4: XOR encoding applied in Python memory before staging; content-scan criteria (non-PE file header, no MZ) are not fair scoring points in a behavior-centric evaluation — file creation by node.exe is the T1105 (Row 6) observable",Not Calibrated - Not Benign,out-of-surface,Low,`stage --encrypt` applies position-dependent XOR (`out[i] = in[i] ^ ((0xA3 + i*0x5B) & 0xFF)`) to the dnscat2 PE in Python memory before base64-encoding and streaming to target; formula is self-inverse and matches `PAYLOAD_XOR_BASE`/`PAYLOAD_XOR_STEP` constants in CWLHerpaderping,react.testlab.local,IIS APPPOOL\react.testlab.local,Position-dependent XOR applied to dnscat2 PE in Python before staging
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"`node.exe` renames `C:\Windows\Temp\CertEnrollSvc.bin` to `C:\Windows\Temp\CertEnrollSvc.exe` via `fs.renameSync`; executable name `CertEnrollSvc.exe` matches the legitimate Windows Certificate Enrollment Policy Web Service process name but runs from `%Temp%`, not its system path",Calibrated - Not Benign,-,Low,`rename` promotes `.bin` to `.exe`; tool named to mimic a legitimate Windows service process (`certenrollsvc`) to reduce suspicion on process creation events,react.testlab.local,IIS APPPOOL\react.testlab.local,Rename .bin to .exe with CertEnrollSvc name to mimic Windows service process
"Step 1 — Initial Access, Privilege Escalation & C2 Establishment",Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,`node.exe` spawns `C:\Windows\Temp\CertEnrollSvc.exe` as a child process (Sysmon EID 1) — IIS worker process creating a child executable from `%TEMP%` is anomalous,Calibrated - Not Benign,-,High,"`pipestage` eval payload calls `spawnSync(CertEnrollSvc.exe, [], {input: [hdr+PE]})` inside the Node.js worker — unlike in-process eval ops, this creates a child process; only operation in this step where `node.exe` appears as a parent in process creation telemetry",react.testlab.local,IIS APPPOOL\react.testlab.local,node.exe spawns CertEnrollSvc.exe child via eval spawnSync call
