Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,ACW,Red Team Activity,Hosts,Users,Detection ID,Detection Description,Log Source,Event Filter,Data Component
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Initial Access,T1190,Exploit Public-Facing Application,Windows,"HTTP POST to React RSC endpoint with `Next-Action: x` header and multipart body containing `""then"":""$1:__proto__:then""` field; server responds with `X-Action-Redirect: /login?a=<base64>` header carrying command output",Not Calibrated - Not Benign,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0219,"Adversary sends crafted HTTP/S (or other service) input to an Internet-facing app (IIS/ASP.NET, API, device portal). Chain: (1) abnormal request patterns to public endpoint → (2) elevated 4xx/5xx or unusual methods/paths → (3) server process (w3wp.exe/other service) spawns shell/LOLbins or loads non-standard modules → (4) optional outbound callback from the host/container.",WinEventLog:Sysmon,EventCode=1,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Initial Access,T1190,Exploit Public-Facing Application,Windows,"HTTP POST to React RSC endpoint with `Next-Action: x` header and multipart body containing `""then"":""$1:__proto__:then""` field; server responds with `X-Action-Redirect: /login?a=<base64>` header carrying command output",Not Calibrated - Not Benign,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0219,"Adversary sends crafted HTTP/S (or other service) input to an Internet-facing app (IIS/ASP.NET, API, device portal). Chain: (1) abnormal request patterns to public endpoint → (2) elevated 4xx/5xx or unusual methods/paths → (3) server process (w3wp.exe/other service) spawns shell/LOLbins or loads non-standard modules → (4) optional outbound callback from the host/container.",WinEventLog:Sysmon,EventCode=7,Module Load
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Initial Access,T1190,Exploit Public-Facing Application,Windows,"HTTP POST to React RSC endpoint with `Next-Action: x` header and multipart body containing `""then"":""$1:__proto__:then""` field; server responds with `X-Action-Redirect: /login?a=<base64>` header carrying command output",Not Calibrated - Not Benign,Critical,Attacker sends crafted RSC flight data to `react.testlab.local` exploiting CVE-2025-55182 deserialization to inject JavaScript into `_prefix` field,react.testlab.local,IIS APPPOOL\react.testlab.local,AN0219,"Adversary sends crafted HTTP/S (or other service) input to an Internet-facing app (IIS/ASP.NET, API, device portal). Chain: (1) abnormal request patterns to public endpoint → (2) elevated 4xx/5xx or unusual methods/paths → (3) server process (w3wp.exe/other service) spawns shell/LOLbins or loads non-standard modules → (4) optional outbound callback from the host/container.",WinEventLog:Sysmon,"EventCode=3, 22",Network Connection Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,`iisnode` evaluates attacker-controlled JavaScript embedded in the `_prefix` response field; no child process created; execution occurs within the existing Node.js worker process,Not Calibrated - Not Benign,Medium,"Exploit injects `eval(String.fromCharCode(...))` as the `_prefix` value, executing arbitrary Node.js code in the IIS worker process",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=1,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,`iisnode` evaluates attacker-controlled JavaScript embedded in the `_prefix` response field; no child process created; execution occurs within the existing Node.js worker process,Not Calibrated - Not Benign,Medium,"Exploit injects `eval(String.fromCharCode(...))` as the `_prefix` value, executing arbitrary Node.js code in the IIS worker process",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",m365:defender,ScriptBlockLogging + AMSI,Script Execution
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Execution,T1059.007,Command and Scripting Interpreter: JavaScript,Windows,`iisnode` evaluates attacker-controlled JavaScript embedded in the `_prefix` response field; no child process created; execution occurs within the existing Node.js worker process,Not Calibrated - Not Benign,Medium,"Exploit injects `eval(String.fromCharCode(...))` as the `_prefix` value, executing arbitrary Node.js code in the IIS worker process",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0733,"Detects JavaScript execution through WSH (wscript.exe, cscript.exe) or HTA (mshta.exe), particularly when spawned from Office macros, web browsers, or abnormal user paths. Correlates script execution with outbound network activity or system modification.",WinEventLog:Sysmon,EventCode=7,Module Load
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Defense Evasion,T1027.010,Obfuscated Files or Information: Command Obfuscation,Windows,JavaScript payload delivered as `eval(String.fromCharCode(<decimal-list>))` with no readable string literals; source code is not present in server logs or request bodies,Not Calibrated - Not Benign,Low,All `fs` API calls and path strings are encoded as charcode arrays to evade string-based log detection,react.testlab.local,IIS APPPOOL\react.testlab.local,AN1394,"Detection of command-line activity exhibiting syntactic obfuscation patterns, such as excessive escape characters, base64 encoding, command concatenation, or outlier command length and entropy.",WinEventLog:Security,EventCode=4688,Process Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Command and Control,T1105,Ingress Tool Transfer,Windows,"`node.exe` writes and appends to `C:\Windows\Temp\CertEnrollAgent.b64`, `C:\Windows\Temp\CertEnrollSvc.b64`, and `C:\Windows\Temp\dnscat2-disk.b64` on IIS01",Calibrated - Not Benign,High,"`upload` command transfers CertEnrollAgent.exe, CertEnrollSvc.exe, and dnscat2 payload encoded as base64 in chunks via eval-based `fs` writes — no child process spawned",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,"EventCode=3, 22",Network Connection Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Command and Control,T1105,Ingress Tool Transfer,Windows,"`node.exe` writes and appends to `C:\Windows\Temp\CertEnrollAgent.b64`, `C:\Windows\Temp\CertEnrollSvc.b64`, and `C:\Windows\Temp\dnscat2-disk.b64` on IIS01",Calibrated - Not Benign,High,"`upload` command transfers CertEnrollAgent.exe, CertEnrollSvc.exe, and dnscat2 payload encoded as base64 in chunks via eval-based `fs` writes — no child process spawned",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,EventCode=11,File Creation
Step 1A - Privilege Escalation + File-based Loading (Full Chain),Command and Control,T1105,Ingress Tool Transfer,Windows,"`node.exe` writes and appends to `C:\Windows\Temp\CertEnrollAgent.b64`, `C:\Windows\Temp\CertEnrollSvc.b64`, and `C:\Windows\Temp\dnscat2-disk.b64` on IIS01",Calibrated - Not Benign,High,"`upload` command transfers CertEnrollAgent.exe, CertEnrollSvc.exe, and dnscat2 payload encoded as base64 in chunks via eval-based `fs` writes — no child process spawned",react.testlab.local,IIS APPPOOL\react.testlab.local,AN0165,Unusual or uncommon processes initiate network connections to external destinations followed by file creation (tools downloaded).,WinEventLog:Sysmon,EventCode=1,Process Creation
