File,Step,Summary,Tactic,Technique ID,Technique Name,Platform,Red Team Activity,Hosts,Users
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,labuser CTRL-click embedded hyperlink in Braavos_Competitiveness_Brief.docx,Execution,T1204.001,User Execution: Malicious Link,Windows,`labuser` opens `Braavos_Competitiveness_Brief.docx` in Word and CTRL+clicks the embedded hyperlink; `winword.exe` triggers browser navigation to `http://192.168.56.2:8080/250325_Pentos_Board_Minutes.zip`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,browser download password-protected ZIP 250325_Pentos_Board_Minutes.zip from adversary staging server Extract All password Pentos,Stealth,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"Browser (Edge/Chrome) downloads `250325_Pentos_Board_Minutes.zip` from `http://192.168.56.2:8080/`; `labuser` extracts with Windows Explorer Extract All using password `Pentos` — payload concealed inside password-protected ZIP, no file signature visible before extraction",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,labuser LNK invocation Essos Competitiveness Brief.lnk,Execution,T1204.002,User Execution: Malicious File,Windows,"`labuser` double-clicks `Essos Competitiveness Brief.lnk` extracted from `250325_Pentos_Board_Minutes.zip`; LNK icon spoofed to `shell32.dll,70` to appear as a document",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,labuser LNK invocation Essos Competitiveness Brief.lnk,Stealth,T1036.008,Masquerading: Masquerade File Type,Windows,"`labuser` double-clicks `Essos Competitiveness Brief.lnk` extracted from `250325_Pentos_Board_Minutes.zip`; LNK icon spoofed to `shell32.dll,70` to appear as a document",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,LNK cmd.exe /c EssosUpdate.exe process spawn,Execution,T1059.003,Command and Scripting Interpreter: Windows Command Shell,Windows,LNK shortcut fires `cmd.exe /c .\EssosUpdate.exe` in the extraction directory; `cmd.exe` parented by `explorer.exe`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,cmd.exe EssosUpdate.exe (wsddebug_host.exe) process spawn,Stealth,T1036.003,Masquerading: Rename Legitimate Utilities,Windows,"`cmd.exe` spawns `EssosUpdate.exe`, a renamed copy of the signed Microsoft WSD debug tool `wsddebug_host.exe`, executing from a non-SDK user-writable path",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,EssosUpdate.exe wsdapi.dll search-order DLL sideload,Execution,T1574.001,Hijack Execution Flow: DLL,Windows,`EssosUpdate.exe` loads attacker-controlled `wsdapi.dll` from the extraction directory ahead of `C:\Windows\System32\wsdapi.dll` via Windows DLL search order,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll Tully Enterprises self-signed Authenticode code signing,Defense Impairment,T1553.002,Subvert Trust Controls: Code Signing,Windows,"`wsdapi.dll` bears an attacker-controlled Authenticode signature (`CN=Tully Enterprises, O=Tully Enterprises, L=Riverrun, S=Riverlands, C=Westeros`, self-signed, SHA-256); chain does not validate against Microsoft or enterprise trust store",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll FNV1A hash Windows API name resolution,Stealth,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,`wsdapi.dll` resolves all target Windows API exports by computing FNV1A hashes of export names; `LoadLibrary`/`GetProcAddress` calls absent from the IAT,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll GetModuleFileNameW EssosUpdate.exe host process sandbox gate,Stealth,T1497.001,Virtualization/Sandbox Evasion: System Checks,Windows,`wsdapi.dll` calls `GetModuleFileNameW(NULL)` and compares the leaf filename to `EssosUpdate.exe`; exits if the host process is different (sandbox or manual analysis context),WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll GetForegroundWindow user activity sandbox evasion loop,Stealth,T1497.002,Virtualization/Sandbox Evasion: User Activity Based Checks,Windows,"`wsdapi.dll` polls `GetForegroundWindow()` every 1 second in a loop, requiring ≥2 foreground window changes over 60 seconds before proceeding — defeats headless sandbox environments",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll CustomException C++ exception Handler() control-flow obfuscation,Stealth,T1622,Debugger Evasion,Windows,"`Handler()` in `wsdapi.dll` throws `CustomException(""Failed check."")` after sandbox checks pass; the malicious `InjectAndSpawn()` call is placed only inside the `catch` block — never visible on the straight-line CFG; breaks single-step debugger follow-through",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll BCrypt AES-CTR encrypted log write wsdapih.log,Stealth,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"`wsdapi.dll` writes an AES-CTR BCrypt-encrypted, base64-wrapped execution log to `%TONESHELL_LOG_DIR%\wsdapih.log`",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll TripleXor-encrypted shellcode blob embedded in .data section,Stealth,T1027.009,Obfuscated Files or Information: Embedded Payloads,Windows,`wsdapi.dll` carries the encrypted shellcode as a compile-time array (`embedded::payload`) stored in the DLL `.data` section; blob is TripleXor-encrypted with a XOR-wrapped key — visible to static PE analysis before any execution,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll Halos Gate ntdll export-walk direct-syscall SSN resolution,Stealth,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,"`wsdapi.dll` walks the PEB to locate `ntdll.dll` base, parses its export table sorted by function RVA, and resolves syscall stub SSNs for 8 NT functions using neighbor-stub fallback for hooked entries (Halos Gate)",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll Halos Gate ntdll export-walk direct-syscall SSN resolution,Execution,T1106,Native API,Windows,"`wsdapi.dll` walks the PEB to locate `ntdll.dll` base, parses its export table sorted by function RVA, and resolves syscall stub SSNs for 8 NT functions using neighbor-stub fallback for hooked entries (Halos Gate)",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll TripleXor shellcode decrypt private RW VirtualAlloc,Stealth,T1140,Deobfuscate/Decode Files or Information,Windows,"`wsdapi.dll` allocates a private RW memory region via `VirtualAlloc`, copies embedded shellcode, and triple-XOR decrypts it in place (key XOR-unwrapped with `0x3F`) — no backing file, no disk artifact",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll waitfor.exe CREATE_SUSPENDED injection host spawn,Execution,T1106,Native API,Windows,"`wsdapi.dll` spawns `waitfor.exe /T 99999 Evt8a3f1d7c2e` in a suspended, windowless state (`CREATE_SUSPENDED \| CREATE_NO_WINDOW`) as the shellcode injection target",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll direct-syscall shared-section Early Bird APC shellcode injection waitfor.exe,Stealth,T1055.004,Process Injection: Asynchronous Procedure Call,Windows,"`wsdapi.dll` injects shellcode into suspended `waitfor.exe` via a shared-section flow using direct syscalls: `SysNtCreateSection` (RWX, SEC_COMMIT) → `SysNtMapViewOfSection` into local process (RW) → `memcpy` shellcode → `SysNtMapViewOfSection` into `waitfor.exe` (RX) → `SysNtUnmapViewOfSection` local → `SysNtQueueApcThread` → `SysNtResumeThread`; no cross-process writes, bypasses WdFilter `ObRegisterCallbacks` and ntdll userland hooks; shellcode fires via Early Bird APC before `waitfor.exe` main thread runs",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,wsdapi.dll direct-syscall shared-section Early Bird APC shellcode injection waitfor.exe,Execution,T1106,Native API,Windows,"`wsdapi.dll` injects shellcode into suspended `waitfor.exe` via a shared-section flow using direct syscalls: `SysNtCreateSection` (RWX, SEC_COMMIT) → `SysNtMapViewOfSection` into local process (RW) → `memcpy` shellcode → `SysNtMapViewOfSection` into `waitfor.exe` (RX) → `SysNtUnmapViewOfSection` local → `SysNtQueueApcThread` → `SysNtResumeThread`; no cross-process writes, bypasses WdFilter `ObRegisterCallbacks` and ntdll userland hooks; shellcode fires via Early Bird APC before `waitfor.exe` main thread runs",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode FNV1A PEB export-walk API resolution in waitfor.exe,Stealth,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,"Shellcode running in `waitfor.exe` walks the PEB `InMemoryOrderModuleList` and resolves all target APIs (kernel32, ws2_32, ole32, user32) by FNV1A hash — fully position-independent, no IAT",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode GetComputerNameA hostname collection,Discovery,T1082,System Information Discovery,Windows,Shellcode in `waitfor.exe` calls `GetComputerNameA` to collect the victim hostname for inclusion in the C2 registration packet,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode CoCreateGuid victim GUID generation,Execution,T1106,Native API,Windows,Shellcode calls `CoCreateGuid` (resolved via `api-ms-win-core-com-l1-1-0.dll` by FNV1A hash) to generate a 16-byte random GUID stored in `ctx->victim_id`; no file artifact at this point — GUID is held in shellcode context for C2 registration and persistence write,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode Web.CompressShaders.config victim GUID masquerading file write,Stealth,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"Shellcode writes the 16-byte `ctx->victim_id` GUID to `%USERPROFILE%\AppData\Roaming\Microsoft\Web.CompressShaders.config`, masquerading the artifact as a Microsoft shader cache config file",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode TCP connect to TONESHELL C2 192.168.56.2:8443,Command and Control,T1095,Non-Application Layer Protocol,Windows,"Shellcode in `waitfor.exe` opens a raw TCP socket (`WSAStartup` + `socket(AF_INET, SOCK_STREAM)` + `connect`) to the TONESHELL controller at `192.168.56.2:8443` — no TLS; beacon loop reconnects immediately after a real task or after random 5–30 second jitter on idle",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode TCP connect to TONESHELL C2 192.168.56.2:8443,Command and Control,T1571,Non-Standard Port,Windows,"Shellcode in `waitfor.exe` opens a raw TCP socket (`WSAStartup` + `socket(AF_INET, SOCK_STREAM)` + `connect`) to the TONESHELL controller at `192.168.56.2:8443` — no TLS",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 1 — Initial Access: ToneShell DLL Sideload & C2 Establishment,shellcode XOR-encrypted TONESHELL C2 handshake and beacon loop,Command and Control,T1573.001,Encrypted Channel: Symmetric Cryptography,Windows,Shellcode sends the TONESHELL registration packet (fixed magic `0xC7 0x3A 0x1F` + XOR-encrypted body containing victim hostname and GUID) then enters a beacon loop: immediate reconnect after a real task or random 5–30 second jitter on idle; one-shot `connect → send → recv → close` per beacon cycle,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,TONESHELL FILE_UPLOAD WNetHelper.exe to WS01 disk,Command and Control,T1105,Ingress Tool Transfer,Windows,Red team uses TONESHELL `put` task to write `WNetHelper.exe` to `C:\Windows\Temp\` on WS01,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,"WNetHelper reads hostname, domain, and OS version via Environment properties and WMI Win32_OperatingSystem",Discovery,T1082,System Information Discovery,Windows,"`WNetHelper.exe local` reads `Environment.MachineName`, `UserDomainName`, `OSVersion` and issues a single WMI query against `Win32_OperatingSystem` on WS01; no child process spawned",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,"WNetHelper reads Windows identity, checks admin role, and translates group SIDs via WindowsIdentity",Discovery,T1033,System Owner/User Discovery,Windows,"`WNetHelper.exe local` calls `WindowsIdentity.GetCurrent()`, `IsInRole(Administrator)`, and translates identity group SIDs to NTAccount names in-process; no child process",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,WNetHelper enumerates running processes via HKEY_PERFORMANCE_DATA performance counter registry,Discovery,T1057,Process Discovery,Windows,"`WNetHelper.exe local` calls `RegQueryValueEx(HKEY_PERFORMANCE_DATA, ""230"")` to enumerate processes via the performance counter API; avoids `NtQuerySystemInformation` and `OpenProcess`; no child process",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,WNetHelper enumerates Win32 services via direct registry read of HKLM CurrentControlSet\Services,Discovery,T1007,System Service Discovery,Windows,`WNetHelper.exe local` opens `HKLM\SYSTEM\CurrentControlSet\Services` and reads subkey values directly; no `OpenSCManager` or `EnumServicesStatusEx` API call; no child process,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,WNetHelper enumerates local groups and members via WinNT ADSI DirectoryEntry,Discovery,T1069.001,Permission Groups Discovery: Local Groups,Windows,"`WNetHelper.exe local` binds `DirectoryEntry(""WinNT://<hostname>,computer"")` and invokes `Members` per group — SAMR RPC under the hood; no `net localgroup` child process",WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,"WNetHelper enumerates filesystem entries under C:\Users\, C:\Windows\Temp\, Desktop, Documents",Discovery,T1083,File and Directory Discovery,Windows,`WNetHelper.exe local` calls `Directory.GetFileSystemEntries()` on four target paths; no child process spawned,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,WNetHelper NBNS subnet sweep to 10.12.10.0/24 on UDP/137; responses identify DC-flagged hosts,Discovery,T1018,Remote System Discovery,Windows,`WNetHelper.exe` sends NBNS NAME QUERY REQUEST packets to each IP in `10.12.10.0/24` via UDP port 137 and parses responses to identify domain-joined hosts; IIS01 (10.12.10.20) identified as DC-flagged server; result returned via C2 EXEC response,WS01 (10.12.10.30),TESTLAB\labuser
Phase 1.md,Step 2 — Discovery: Local Host Profiling and NetBIOS Enumeration,WNetHelper.exe deleted from C:\Windows\Temp\ via cmd.exe del,Stealth,T1070.004,Indicator Removal: File Deletion,Windows,Red team deletes scanner binary after output collection via TONESHELL `shell del /f`,WS01 (10.12.10.30),TESTLAB\labuser
Phase 2.md,Step 1 — Credential Access: MSSQL Password from SSMS Windows Credential Manager,cmdkey /list enumerates Windows Credential Manager vault on WS01,Credential Access,T1555.004,Credentials from Password Stores: Windows Credential Manager,Windows,Red team runs `cmdkey /list` via TONESHELL shell to enumerate stored credentials and locate the SSMS-saved `svc_app_dev` entry,WS01 (10.12.10.30),TESTLAB\labuser
Phase 2.md,Step 1 — Credential Access: MSSQL Password from SSMS Windows Credential Manager,Get-StoredCredential reads SSMS-saved MSSQL password from Windows Credential Manager,Credential Access,T1555.004,Credentials from Password Stores: Windows Credential Manager,Windows,"`Get-StoredCredential` (CredentialManager module) calls `CredRead` against the `LegacyGeneric:target=Microsoft:SSMS:20:...` entry, decrypting `D3vPortal!2025` via DPAPI in-session as `labuser`",WS01 (10.12.10.30),TESTLAB\labuser
